	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
GTEX-1117F	0.2658639	7.1150165	6.4633913	-1.275506	1.0967541	0.27779776	-1.6917558	17.070742	-8.3887615	-3.4582613	13.496694	-2.4502392	-0.34627903	3.2143757	13.048671	-5.024584	2.138215	-1.0318264	11.169999	3.0609877	16.176662	1.0982442	1.97072	4.021657	-5.3076267	-1.9352717	5.517797	9.07912	-5.595567	-2.2233138	5.35378	0.8614942	-1.8342558	-2.8331652	2.6235492	1.7187881	-4.7263513	-6.863762	-5.9281306	2.284013	-2.6959236	6.4114285	6.560845	7.764163	-10.264614	8.329651	-6.351592	0.63997096	-9.972749	-10.434846	-16.389774	-0.35691544	-3.701865	0.6837923	-5.7584715	4.279435	-0.317446	3.5842671	-9.160974	-11.550786
GTEX-111CU	2.6169431	0.36840937	17.27713	-0.31037036	-4.6339426	-3.2894354	-1.9695791	-9.2165	10.295173	-10.127389	0.10555773	-1.6369108	5.654346	3.6619506	9.201623	0.8073392	-2.5448475	-5.4889593	4.84578	3.4139652	-2.973727	7.6827636	-7.437035	10.078281	-6.676647	1.1784341	-8.766127	-9.360144	1.348492	-1.0409466	-1.4322736	2.9972224	2.3407333	1.1540477	-4.2643456	-0.7245857	-3.95816	0.09923732	-0.7677356	3.4714477	3.312159	-2.6974883	-3.2012265	4.0974946	0.7237576	-0.51583415	-2.0233746	4.1250467	-4.293909	5.59942	3.024261	-0.7919152	-0.80069226	-10.834782	4.223975	-6.817644	1.724171	4.669887	-3.1334767	7.1862435
GTEX-111FC	1.1759347	-2.1678603	-4.1415534	-1.468553	3.6870685	5.006702	4.354688	2.1989512	-8.312825	-1.7110156	-1.5871247	-0.34219915	-4.275047	-11.986674	-8.528725	-4.7253942	2.92783	1.7585998	4.040405	-8.367025	8.98939	-8.601574	4.5540934	-5.5472207	6.961008	-1.5950599	-1.6064531	1.3764143	-2.5226772	1.4193306	0.56584895	-4.0762587	-1.9176178	1.0804751	4.2103076	-0.28388122	-1.5146163	2.3720787	2.5443676	-9.823385	1.0365376	-2.6716352	-2.7435703	-2.127642	-2.616185	-0.4911439	9.371859	-6.025596	5.84703	5.222796	4.3806367	-2.723012	-5.115726	-0.2244394	3.1002114	5.617967	0.38191554	-7.964266	6.798524	-9.858397
GTEX-111VG	2.4214473	-1.4888594	-2.857414	0.17672832	7.0161047	0.4532814	3.9237394	6.572407	-2.2362287	-3.5696914	-3.7748375	0.15079516	-5.455135	-9.12007	-8.536239	-4.8885126	-6.137583	1.5490955	-5.596967	-0.91731906	4.7337403	-6.5109773	1.8876185	1.5606515	-0.6530226	-0.26056454	1.1088846	-2.1219454	-2.1089678	1.4385372	-1.0351678	-1.0624282	0.6626946	-0.93641436	9.425068	-0.23359616	-7.0138736	-1.9180696	4.4125853	-9.89931	-3.0642753	3.2670429	1.3995494	-8.834957	5.457384	1.2996783	6.8238087	-5.241175	5.123028	5.4832745	-0.8741002	4.0083036	-0.80993956	1.7867906	3.2407553	1.3530884	-6.4117546	-1.4606832	5.809742	1.8876568
GTEX-111YS	-4.8755546	-3.7292476	9.285007	-0.29325587	2.4658663	-2.6518	-0.9354291	-2.2777395	-0.88008434	-4.29417	0.31859028	-3.9835398	3.192389	6.115866	1.73712	1.8592231	2.5271423	0.9573717	-4.8443503	6.435821	1.1725241	-1.6677837	-3.7855084	3.3122356	-1.2175756	0.7916821	-6.153082	-8.823208	3.837302	1.587464	2.806995	7.4047704	-2.2518244	4.831526	-2.675915	-1.4955184	2.529317	-5.302433	-2.9594512	5.581287	0.5877941	-2.0241067	3.831814	2.4611995	5.308336	-3.5307682	-4.756313	8.203328	-2.2946436	-0.090427436	5.4056315	-5.1753144	1.9853625	0.63079274	6.2665825	-6.572596	0.24165373	1.8538033	7.918075	3.6985798
GTEX-1122O	-6.0318694	5.416337	12.805318	5.8848248	-3.8249338	2.732646	3.4215302	-3.1595848	-0.6629697	-7.883075	0.3112074	-7.7281876	7.148787	13.964626	4.9244027	10.530375	4.554718	2.7666888	-6.1130095	4.5107217	-0.21223105	2.085513	-6.813867	6.9714932	0.78762275	-1.0351673	-2.7187665	-4.48311	-0.6960199	-8.486332	6.73238	4.58431	-1.0983335	-0.018844513	-6.378618	-2.4660711	2.5985193	-8.966187	-3.355311	13.352376	-1.3217511	-0.90957975	5.9122787	3.0250988	-0.23370838	0.6246186	-5.640211	4.3422866	-5.034425	-2.8637433	3.3880754	-7.4236917	4.701277	-5.2571945	0.9019987	-1.2609713	-1.4507673	3.7216687	-3.2701225	3.6214564
GTEX-1128S	4.518473	3.418915	1.9913116	3.323692	0.91125005	3.8140697	5.153019	-0.07081138	-3.0847993	-1.5671632	5.9564	2.3642962	7.7973146	0.5964549	2.9927518	-1.3749357	0.014550929	-8.000698	-2.3867126	-4.311269	7.4010177	5.024055	1.7521406	0.43580216	2.7732112	1.7925278	2.8154407	0.8918483	-3.6467543	-6.652643	8.310213	-4.680004	-2.451269	1.0852138	0.7976955	-2.987931	-2.0541856	-2.440153	2.5645475	3.245966	3.471659	-7.0072355	-1.167276	4.2715855	-4.187694	0.5209911	0.20692696	6.152277	5.7172103	-0.34977302	-1.2131598	-4.8531237	3.232646	-2.9846938	0.40330607	2.7405658	-3.3307035	-2.4604783	4.610727	-1.7183956
GTEX-113JC	2.06989	-0.81494653	-4.6376443	1.0214795	4.9870253	-3.7789752	7.546984	4.72919	-7.653553	0.96874106	1.2602419	3.3659647	-6.904981	-13.155129	-8.139959	0.4408607	0.8467634	4.5265102	-0.8860522	0.80412924	-0.05118409	-8.0089655	4.770501	-4.130137	6.3583436	1.9473416	-1.5487232	0.092906624	2.1678832	6.151926	3.8293543	0.11292864	1.0347776	1.7816283	-0.6877377	1.8683642	-1.5222588	4.894623	2.7536185	-5.285365	1.5704767	2.3147364	-4.3037486	2.4831028	-4.345699	-3.2890654	2.6326401	-1.8398235	5.5765142	2.2967489	-3.1230333	-1.9699543	-2.3592682	5.1617866	0.42662078	0.70368767	2.2130806	-4.566789	13.351519	-1.166503
GTEX-117XS	-1.8254923	-6.1050963	-4.5596576	1.2013097	-2.210417	-0.53651303	9.765058	6.03661	-3.2207518	-4.115907	-3.1178505	4.8950768	-11.166137	-7.955545	-6.885671	0.8102595	-7.0117674	0.082605146	-4.1175056	-4.422684	4.407774	-7.7761474	6.5624933	0.36835682	5.629808	1.6472918	0.41577378	-5.747445	-5.846911	4.452842	0.9613418	1.1860831	-2.5673192	0.65071565	4.0058856	6.1460843	-3.711446	-1.9150879	7.338346	-6.2966933	-0.6549141	1.6013368	-1.1508449	-3.7683368	3.8413823	-5.6204486	8.421419	-4.0041723	4.8419733	1.1366966	5.1221285	0.12838753	2.0566115	5.869606	-3.0861197	-2.003747	-6.71897	-3.8674326	6.2504835	0.6002792
GTEX-117YW	1.9109226	-7.6872087	-4.967629	3.1185431	0.99503607	-8.735194	3.4747515	5.945689	0.5015962	2.2615378	-7.868858	1.0934845	-9.934267	-4.6924615	-6.941564	-1.6927837	-5.4780073	-0.27204102	-7.814084	-2.7018743	2.3189557	-2.5333004	8.316633	-1.1610891	2.9332104	1.7426404	2.3123264	-3.5635743	-2.0262775	8.174817	5.3590255	-1.4215326	-6.4598684	1.6822747	1.7986916	3.484982	-3.7163846	-2.012965	4.7460327	-4.828271	-3.979877	-1.6174705	0.091017395	-6.665206	6.29249	-4.509517	6.6851597	-1.2747874	1.0001909	6.516593	2.5824418	7.5528336	-0.64486766	3.9035077	-8.704436	3.774735	-0.37352386	-4.056444	1.3324339	0.3546769
GTEX-117YX	-3.8741574	2.501617	6.2807956	-0.40020645	-4.879904	4.0023026	3.2983866	-4.632853	3.0708976	0.28776446	-3.5972917	-8.387199	8.071235	8.348156	3.0547779	3.7312562	-0.8416038	-2.8740287	3.3489416	-2.3041565	-2.6699758	11.84658	0.92712736	5.846242	2.0286164	-6.0413036	-5.639105	-2.108071	3.346629	-1.729044	-4.284375	0.0019216593	0.12113043	5.559992	-11.341607	-0.41613394	4.38905	-8.951387	-4.6490793	11.042552	-5.162302	-0.57947993	7.551485	6.27872	6.1471753	-4.330498	0.9639525	1.8702954	-7.350277	0.39711833	-1.3923943	-1.2834989	-0.33821166	-5.928669	2.4027395	0.8515825	0.23179945	0.7180268	0.6283963	3.4539382
GTEX-1192X	-4.3971305	-3.5669541	-0.8181804	2.401388	-3.7992857	4.153442	-1.0174613	7.278518	0.6006264	4.581726	4.0186214	-4.9284134	10.705483	5.493993	2.7090364	1.3099442	-4.2285137	-3.065352	4.9538608	-0.21390042	-1.6436718	2.6668406	-1.0308845	-2.4923303	-2.9199493	1.2917935	7.397216	0.06834222	3.0739136	0.65994567	-0.31561884	2.7357078	-5.894836	-1.4871418	-1.3745172	2.2645092	-7.5297647	-10.183078	0.8652875	2.4512234	-3.7978144	6.1380215	0.91827327	12.784841	4.260747	-0.5211311	0.23080128	5.442315	0.88219947	-0.9565662	-2.9278052	2.7583606	6.4122353	3.6139324	-1.2795737	2.7267494	-2.762454	-0.1675223	-1.9745588	2.7307615
GTEX-11DXX	-0.08989546	-4.4480767	7.075543	-3.3803382	-3.237835	1.2014819	-0.7965389	-5.589802	-0.16722631	-5.8115325	8.851333	-1.7393712	3.2305386	9.495628	8.073687	8.870316	4.6210093	-2.9264705	-2.758086	6.6519394	2.9974208	2.181171	0.22789058	-1.0962803	-3.1264381	0.71601486	-2.2269397	-4.5529056	0.3635456	2.3010063	0.3278554	2.1661959	7.720072	3.313085	4.45863	-0.16017823	4.0738816	-5.569514	3.1571114	5.6259756	2.0135603	-6.6222863	-0.57641447	7.397595	3.1061938	1.2204592	0.5228434	5.74652	-5.6478586	2.5977552	9.48504	-8.487232	0.47766182	-3.474538	4.2317724	-4.085477	4.4788356	6.635699	6.237432	5.059322
